name,gender,ethnicity
hezekiah,man,hebrew
hilel,man,hebrew
hiram,man,hebrew
hosea,man,hebrew
hyman,man,hebrew
ichabod,man,hebrew
ike,man,hebrew
ilan,man,hebrew
ilia,man,hebrew
ilias,man,hebrew
immanuel,man,hebrew
imre,man,hebrew
ioan,man,hebrew
ira,man,hebrew
irin,man,hebrew
isaac,man,hebrew
isaiah,man,hebrew
ishmael,man,hebrew
israel,man,hebrew
ithamar,man,hebrew
jabez,man,hebrew
jabin,man,hebrew
jachin,man,hebrew
jacob,man,hebrew
jaden,man,hebrew
jairus,man,hebrew
james,man,hebrew
japhet,man,hebrew
jared,man,hebrew
jaron,man,hebrew
javan,man,hebrew
jebediah,man,hebrew
jeremiah,man,hebrew
jeremy,man,hebrew
jesse,man,hebrew
jesus,man,hebrew
jethro,man,hebrew
joachim,man,hebrew
job,man,hebrew
jody,man,hebrew
joel,man,hebrew
john,man,hebrew
jonas,man,hebrew
jonathan,man,hebrew
joram,man,hebrew
jordan,man,hebrew
joseph,man,hebrew
joshua,man,hebrew
juan,man,hebrew
judd,man,hebrew
kabos,man,hebrew
kadmiel,man,hebrew
kaniel,man,hebrew
karmel,man,hebrew
katzir,man,hebrew
kedar,man,hebrew
kenan,man,hebrew
kobe,man,hebrew
laban,man,hebrew
label,man,hebrew
lael,man,hebrew
lavan,man,hebrew
lazarus,man,hebrew
lemuel,man,hebrew
leor,man,hebrew
leshem,man,hebrew
levi,man,hebrew
lot,man,hebrew
madai,man,hebrew
makayla,man,hebrew
makis,man,hebrew
malachi,man,hebrew
mario,man,hebrew
marlin,man,hebrew
matai,man,hebrew
matthew,man,hebrew
mattison,man,hebrew
mayer,man,hebrew
mehetabel,man,hebrew
meshach,man,hebrew
mica,man,hebrew
michael,man,hebrew
mihaly,man,hebrew
mordecai,man,hebrew
moses,man,hebrew
nachman,man,hebrew
nachmanke,man,hebrew
nachum,man,hebrew
nadav,man,hebrew
nadir,man,hebrew
nahir,man,hebrew
nahum,man,hebrew
nathaniel,man,hebrew
naum,man,hebrew
nehemiah,man,hebrew
nimrod,man,hebrew
nirel,man,hebrew
nisi,man,hebrew
noadiah,man,hebrew
noah,man,hebrew
noy,man,hebrew
nuriel,man,hebrew
obadiah,man,hebrew
oded,man,hebrew
oma,man,hebrew
omar,man,hebrew
omri,man,hebrew
oralee,man,hebrew
oren,man,hebrew
orli,man,hebrew
orly,man,hebrew
ornice,man,hebrew
osaze,man,hebrew
osip,man,hebrew
oz,man,hebrew
pallu,man,hebrew
palti,man,hebrew
pau,man,hebrew
phinneaus,man,hebrew
pontus,man,hebrew
rafa,man,hebrew
rafael,man,hebrew
ranen,man,hebrew
raphael,man,hebrew
ravid,man,hebrew
reuben,man,hebrew
reuel,man,hebrew
rishon,man,hebrew
roman,man,hebrew
roni,man,hebrew
rouvin,man,hebrew
ruben,man,hebrew
saad,man,hebrew
sachiel,man,hebrew
sagiv,man,hebrew
saloman,man,hebrew
sam,man,hebrew
samson,man,hebrew
samuel,man,hebrew
saul,man,hebrew
seff,man,hebrew
seraphim,man,hebrew
seth,man,hebrew
shafir,man,hebrew
shailen,man,hebrew
shiloh,man,hebrew
shimon,man,hebrew
shulamith,man,hebrew
shylock,man,hebrew
simon,man,hebrew
simpson,man,hebrew
sivan,man,hebrew
solomon,man,hebrew
talman,man,hebrew
temani,man,hebrew
temo,man,hebrew
terach,man,hebrew
timur,man,hebrew
tivon,man,hebrew
tobias,man,hebrew
tomer,man,hebrew
tov,man,hebrew
tuvya,man,hebrew
tyrek,man,hebrew
tzuriel,man,hebrew
udeh,man,hebrew
uehudah,man,hebrew
uri,man,hebrew
urias,man,hebrew
ury,man,hebrew
uzi,man,hebrew
uziah,man,hebrew
uziel,man,hebrew
vered,man,hebrew
vida,man,hebrew
volf,man,hebrew
yaakov,man,hebrew
yaar,man,hebrew
yadon,man,hebrew
yago,man,hebrew
yahir,man,hebrew
yair,man,hebrew
yakim,man,hebrew
yakov,man,hebrew
yamin,man,hebrew
yan,man,hebrew
yanis,man,hebrew
yanoach,man,hebrew
yaphet,man,hebrew
yarin,man,hebrew
yechezkel,man,hebrew
yehudi,man,hebrew
yered,man,hebrew
yeshaya,man,hebrew
yitro,man,hebrew
yitzchak,man,hebrew
yonas,man,hebrew
yonatan,man,hebrew
yosef,man,hebrew
yuval,man,hebrew
zabulon,man,hebrew
zaccheo,man,hebrew
zachary,man,hebrew
zahavi,man,hebrew
zakai,man,hebrew
zakur,man,hebrew
zamir,man,hebrew
zan,man,hebrew
zane,man,hebrew
zann,man,hebrew
zared,man,hebrew
zavad,man,hebrew
zayden,man,hebrew
zazu,man,hebrew
zebediah,man,hebrew
zebulon,man,hebrew
zedekiah,man,hebrew
zenoa,man,hebrew
zephan,man,hebrew
zev,man,hebrew
ziff,man,hebrew
zion,man,hebrew
ziph,man,hebrew
ziv,man,hebrew
zomier,man,hebrew
zuriel,man,hebrew
zurl,man,hebrew
abra,woman,hebrew
achazia,woman,hebrew
ada,woman,hebrew
adamina,woman,hebrew
adena,woman,hebrew
affera,woman,hebrew
afra,woman,hebrew
ahava,woman,hebrew
ahmose,woman,hebrew
akiva,woman,hebrew
aliza,woman,hebrew
alumit,woman,hebrew
amissa,woman,hebrew
anita,woman,hebrew
ann,woman,hebrew
apphia,woman,hebrew
araminta,woman,hebrew
arashel,woman,hebrew
arella,woman,hebrew
ariel,woman,hebrew
arnon,woman,hebrew
ascah,woman,hebrew
asenath,woman,hebrew
asenka,woman,hebrew
asisa,woman,hebrew
atara,woman,hebrew
aviva,woman,hebrew
ayala,woman,hebrew
ayla,woman,hebrew
ayn,woman,hebrew
bara,woman,hebrew
basha,woman,hebrew
bathsheba,woman,hebrew
becky,woman,hebrew
bena,woman,hebrew
beryl,woman,hebrew
bess,woman,hebrew
bethany,woman,hebrew
bettina,woman,hebrew
beulah,woman,hebrew
bina,woman,hebrew
bo,woman,hebrew
bracha,woman,hebrew
carmel,woman,hebrew
chaka,woman,hebrew
chanah,woman,hebrew
chaya,woman,hebrew
daba,woman,hebrew
dagen,woman,hebrew
dalia,woman,hebrew
danielle,woman,hebrew
danuta,woman,hebrew
dara,woman,hebrew
davan,woman,hebrew
daya,woman,hebrew
dayla,woman,hebrew
deborah,woman,hebrew
delilah,woman,hebrew
denna,woman,hebrew
derora,woman,hebrew
dinah,woman,hebrew
diza,woman,hebrew
dodie,woman,hebrew
dorrit,woman,hebrew
eden,woman,hebrew
edena,woman,hebrew
edna,woman,hebrew
edria,woman,hebrew
efrosini,woman,hebrew
elam,woman,hebrew
eleora,woman,hebrew
eliann,woman,hebrew
elizabeth,woman,hebrew
emanuelle,woman,hebrew
endora,woman,hebrew
eve,woman,hebrew
gabriela,woman,hebrew
galya,woman,hebrew
gana,woman,hebrew
gayora,woman,hebrew
gelilah,woman,hebrew
geva,woman,hebrew
gilana,woman,hebrew
gilla,woman,hebrew
gita,woman,hebrew
giuseppina,woman,hebrew
hadara,woman,hebrew
hadassa,woman,hebrew
hannah,woman,hebrew
hariel,woman,hebrew
hava,woman,hebrew
heba,woman,hebrew
hedia,woman,hebrew
hedva,woman,hebrew
hepziba,woman,hebrew
hila,woman,hebrew
hinda,woman,hebrew
hosea,woman,hebrew
ideh,woman,hebrew
idit,woman,hebrew
ikia,woman,hebrew
ilana,woman,hebrew
iras,woman,hebrew
isela,woman,hebrew
iva,woman,hebrew
ivana,woman,hebrew
ivria,woman,hebrew
iyana,woman,hebrew
jael,woman,hebrew
jaen,woman,hebrew
jana,woman,hebrew
jane,woman,hebrew
janese,woman,hebrew
janica,woman,hebrew
jariah,woman,hebrew
jedida,woman,hebrew
jemima,woman,hebrew
jenay,woman,hebrew
jenova,woman,hebrew
jerusha,woman,hebrew
jesse,woman,hebrew
jessica,woman,hebrew
jezebel,woman,hebrew
jimena,woman,hebrew
joakima,woman,hebrew
joan,woman,hebrew
joaquina,woman,hebrew
jobey,woman,hebrew
joelle,woman,hebrew
jonina,woman,hebrew
jora,woman,hebrew
jordan,woman,hebrew
josephine,woman,hebrew
josie,woman,hebrew
judith,woman,hebrew
kadisha,woman,hebrew
kaila,woman,hebrew
kalanit,woman,hebrew
kaleigh,woman,hebrew
kanara,woman,hebrew
karmel,woman,hebrew
karmina,woman,hebrew
katriel,woman,hebrew
kay,woman,hebrew
kayla,woman,hebrew
kazia,woman,hebrew
kefira,woman,hebrew
keilah,woman,hebrew
kelila,woman,hebrew
kenia,woman,hebrew
keturah,woman,hebrew
ketzia,woman,hebrew
kezia,woman,hebrew
kitra,woman,hebrew
kizzy,woman,hebrew
kochava,woman,hebrew
laah,woman,hebrew
labana,woman,hebrew
lael,woman,hebrew
laela,woman,hebrew
laila,woman,hebrew
lailie,woman,hebrew
laisha,woman,hebrew
lavey,woman,hebrew
lavi,woman,hebrew
lea,woman,hebrew
leah,woman,hebrew
ledah,woman,hebrew
leeza,woman,hebrew
leia,woman,hebrew
lemuela,woman,hebrew
lena,woman,hebrew
leora,woman,hebrew
levia,woman,hebrew
lexine,woman,hebrew
lia,woman,hebrew
liana,woman,hebrew
libba,woman,hebrew
libby,woman,hebrew
liora,woman,hebrew
lirit,woman,hebrew
lisa,woman,hebrew
lisbet,woman,hebrew
lisea,woman,hebrew
livia,woman,hebrew
liza,woman,hebrew
lizbeth,woman,hebrew
lizeth,woman,hebrew
lois,woman,hebrew
lysia,woman,hebrew
macayle,woman,hebrew
madeline,woman,hebrew
magda,woman,hebrew
magdalen,woman,hebrew
magena,woman,hebrew
mahala,woman,hebrew
mahalia,woman,hebrew
mahola,woman,hebrew
malca,woman,hebrew
malha,woman,hebrew
malina,woman,hebrew
malka,woman,hebrew
mangena,woman,hebrew
mara,woman,hebrew
maretta,woman,hebrew
maria,woman,hebrew
